
13.6118,13.6546,13.6498,17.135,17.057,17.3185,13.535,17.1513,13.8584,17.0557,17.4105,17.194,20.8812
13.6922,17.0315,13.5996,13.7084,17.0712,13.544,13.7766,13.7646,17.1273,17.4842,17.2737,17.3152,20.9916
13.2844,13.4226,13.569,13.3282,13.3794,13.2952,13.431,13.39,13.3888,13.6206,13.562,13.5274,13.6058
9.9633,13.2126,13.2924,13.1218,13.0994,9.8694,13.3726,13.1688,13.3682,13.4126,13.4948,13.5556,13.531
9.6715,12.7872,12.8712,9.6561,12.7286,9.4605,12.9146,12.8528,13.2176,13.1176,13.205,13.3566,13.4196
9.1833,9.3583,9.2755,9.2346,12.2846,9.5077,12.548,9.4431,9.3822,9.5077,9.6197,12.8738,13.015
11.9072,9.0581,8.8354,8.9724,8.7829,8.8566,12.0092,9.101,12.1288,9.2681,9.4787,12.3462,12.685
8.3425,8.381,8.3726,8.3682,11.1532,8.5328,8.7566,8.7678,8.6463,8.7544,12.2646,9.0738,9.0612
8.0274,7.9912,8.1566,7.721,8.0407,8.4273,7.8765,8.1471,8.4089,8.7965,8.7741,11.6972,12.0452
7.3509,7.533,7.8216,7.6673,7.5531,7.4,7.986,8.1555,8.5438,8.0689,8.638,8.7566,8.6907
7.2313,7.3043,7.5068,7.3638,7.5306,7.7429,7.6715,8.247,10.9808,11.2254,8.4173,8.7471,8.5194
7.3755,7.3576,7.4936,7.1273,7.6476,7.7445,7.8251,7.8151,8.0413,8.1066,8.4153,8.7216,8.5416
7.2675,7.2748,7.0833,7.5063,7.4655,7.8212,8.0796,7.7817,8.0537,8.361,8.6388,8.7353,8.7339
