
19.8726,23.2607,20.3796,20.2653,19.6083,16.8445,20.0202,23.4055,26.8568,23.5294,30.1405,53.6816,54.248
23.4468,20.1006,23.2992,20.0295,19.8975,16.7452,23.3026,23.3751,23.5806,23.3863,54.3712,33.828,54.1728
16.5845,16.104,16.3117,16.4662,16.3165,16.1625,16.456,16.585,16.5475,16.663,20.1084,20.1201,26.866
16.2218,15.9987,12.7936,15.7123,16.4095,15.8712,16.192,16.3425,16.2413,16.4437,16.5452,20.1186,20.1516
15.1015,12.2968,15.435,15.3742,15.4682,15.4198,15.7165,15.624,15.8485,16.2847,16.3708,16.1068,16.353
11.9486,11.9866,11.9412,11.5194,12.1078,12.1,12.0048,12.4508,15.4852,12.38,15.5103,15.8613,16.07
10.9856,11.2996,11.2658,11.0402,11.4874,11.8134,11.7734,11.962,12.122,12.0784,15.1127,12.313,15.2613
10.3,10.5604,10.201,10.4658,10.835,10.8708,11.1334,11.5336,11.6518,11.8586,11.9114,11.8688,11.656
10.0706,9.9744,9.878,10.1132,10.3878,10.3746,10.8846,10.8596,11.1224,11.2822,11.2792,11.4268,11.557
9.5312,9.0772,9.5864,9.344,7.3962,10.1682,10.071,10.5948,10.98,10.8396,11.0458,11.2632,11.6656
9.1718,9.002,8.957,8.7654,9.5222,10.0404,10.0534,10.5538,10.9288,10.7654,11.1652,11.1068,11.3054
9.3348,9.3136,7.0971,9.0534,9.434,9.9348,10.295,10.9678,10.3826,11.1542,11.1906,10.8138,11.1116
9.0224,8.9284,9.4612,9.2314,9.534,10.121,9.819,10.5702,10.9034,11.2302,11.3536,11.1294,11.213
